AAL	American Airlines "American"
SJY	Sriwijaya Air "SRIWIJAYA" (Central Jakarta, Jakarta, Indonesia)
XSR	Executive AirShare (Wichita, KS)
CSJ	Castle Aviation "Castle" (Ravenna, OH)
CAO	Air China Cargo "Airchina Freight" (China)
HYD	Hydro-Quebec "HYDRO"
QJE	QantasLink "QJET" (Adelaide, South Australia)
AER	Alaska Central Express "Ace Air"
TGZ	Georgian Airways "Tamazi" (Georgia)
LDM	Laudamotion "Laudamotion" (Schwechat, Austria)
GEC	Lufthansa Cargo "Lufthansa Cargo"
ABQ	Airblue "PAKBLUE" (Pakistan)
VTE	Contour Aviation "Volunteer" (Smyrna, TN)
BMR	BMI Regional "Kittywake" (Aberdeen, Scotland)
VKG	Thomas Cook "Viking" (Denmark)
MLD	Air Moldova "Air Moldova"
AMC	Air Malta "Air Malta"
RNA	Royal Nepal Airlines "Royal Nepal"
APJ	Peach Aviation "Air Peach"
HGT	GMJ Air Shuttle "HIGHTECH" (McClellan, CA)
MHO	Mokulele "Mahalo" (Hawaii)
DLA	Air Dolomiti "Dolomiti"
LNE	LAN Ecuador "AEROLANE" (Guayaquil)
NDL	Chrono Aviation "Needle"
TFX	Toll Aviation "Toll Freight" (Brisbane)
SIL	Silver Airways "Silver Wings" (Fort Lauderdale, Florida)
EZE	Eastern Airways "Eastflight"
AHK	Ahk Air Hong Kong Limited "Air Hong Kong"
KKK	AtlasGlobal "AtlasGlobal" (Istanbul, Turkey)
KMI	K-Mile Air "KAY-MILE Air" (Bangkok, Thailand)
IAD	AirAsia India "RED KNIGHT" (Chennai, India)
LIA	Leeward Islands Air Transport "Liat" (Antigua And Barbuda)
SGQ	SaudiGulf Airlines
CAV	Calm Air "Calm Air" (Canada)
CFP	Compania de Aviacion "Faucett"
WHT	White "WHITEJET" (Portugal)
GLG	Aerogal Aerolineas Galapagos (Ecuador)
SDA	Sounds Air "Soundsair" (New Zealand)
JSA	Jetstar Asia (Singapore)
TUI	TuiFly "TUIJET" (Langenhagen)
CGT	CNG-Transavia, Joint-Stock Company "Transgaz"
RBA	Royal Brunei "Brunei"
NAC	Northern Air Cargo "Yukon" (Anchorage, AK)
PVL	PAL Airlines "Provincial" (St. Johns, NL)
BLU	SolutionsAir "BLUEGRASS" (Zionsville Indiana)
OAW	Helvetic (Switzerland)
GBX	Gb Airlink "Island Tiger"
PRY	Priority Air Charter, LLC "Priority Air"
GUG	Aviateca "Aviateca"
GLT	Aero Charter "Gaslight"
CGC	Cal Gulf Aviation "Cal-Gulf"
GLF	Gulfstream Aerospace "Gulfstream Test"
TGG	Tigerair Australia "TIGGOZ" (Melbourne)
VDA	Volga-dnepr "Volga-dnepr" (Russian Federation)
NCB	North Cariboo Flying Service Ltd. "North Caribou" (Canada)
JJP	Jetstar Japan "Orange Liner" (Narita, Japan)
AUR	Aurigny Air Services Ltd. "Ayline"
MAL	Morningstar Air "Morningstar" (Canada)
IRA	Iran National Airlines Corp. "Iranair"
FTH	Mountain Aviation "FOOT HILLS" (Broomfield, CO)
WCC	West Coast Charters "West Coast" (California)
BEC	Berkut Air (Astana, Kazakhstan)
FWI	Air Caraïbes "French West"
TVS	Smart Wings "Skytravel"
NSS	Northstar Aviation "Northstar"
CBJ	Beijing Capital Airlines "Capital Jet"
SYL	Yakutia Airlines "AIR YAKUTIA" (Yakutsk, Russia)
AZG	Silk Way West "Silk West" (Azerbaijan)
LZB	Bulgaria Air "FLYING BULGARIA" (Bulgaria)
CFS	Empire "Empire" (Hayden, Idaho)
GCR	Tianjin Airlines "Bohai" (Tianjin)
SSF	Severstal Air Company "Severstal"
KBA	Kenn Borek Air Ltd. "Borek Air" (Canada)
BLS	Bearskin Lake Air Service Limited "Bearskin" (Canada)
PVN	Peruvian Airlines "Peruvian" (Lima, Perú)
BEK	Berkhut Air (Kazakhstan)
FBU	French Blue
SCW	Braathens Regional Aviation "Scanwings"
ROI	Avior Airlines "Avior"
SXD	SunExpress Deutschland "Sunrise" (Germany)
OAL	Olympic Air "Olympic" (Greece)
CWG	Clear Wing "Clearwing"
VNL	Vanilla "Vanilla" (Japan)
MTN	Mountain Air Cargo "Mountain" (Denver, NC)
CKK	China Cargo "Cargo King"
WSN	Advanced Air "WINGSPAN" (Hawthorne, CA)
CTL	Central Air Southwest, Inc. "Central Commuter" (Cushing, OK)
KFS	Kalitta Charters "KALITTA" (Ypsilanti, Michigan)
VHA	VH-Air Industrie "Air V-H"
BOS	OpenSkies "Mistral" (United Kingdom)
EWE	East West European "EUROWINGS"
GLR	Central Mountain "Glacier" (Canada)
CSZ	Shenzhen Airlines "Shenzhen Air"
CGA	Congo Airways "Congressional"
CGR	Compagnia Generale Ripreseaeree Spa "Comprip"
RWZ	Red Wings Airlines "AIR RED" (Moscow, Russia)
